Date,Price,Open,High,Low,Vol.,Change %
04/14/2023,81.82,81.701,81.93,81.547,,0.21%
04/13/2023,81.65,82.008,82.027,81.628,,-0.34%
04-12-2023,81.93,82.088,82.126,81.93,,-0.13%
04-11-2023,82.04,81.966,82.16,81.927,,0.09%
04-10-2023,81.965,81.844,82.045,81.761,,0.13%
04-07-2023,81.86,81.832,81.91,81.79,,0.05%
04-06-2023,81.82,81.953,82.059,81.81,,-0.12%
04-05-2023,81.92,82.123,82.217,81.843,,-0.21%
04-04-2023,82.09,82.219,82.279,82.077,,-0.12%
04-03-2023,82.19,82.391,82.484,82.19,,0.04%
03/31/2023,82.16,82.088,82.282,82.044,,0.10%
03/30/2023,82.08,82.238,82.286,82.03,,-0.12%
03/29/2023,82.178,82.164,82.39,82.164,,0.01%
03/28/2023,82.172,82.195,82.29,82.113,,-0.01%
03/27/2023,82.18,82.374,82.441,82.2,,-0.19%
03/24/2023,82.334,82.265,82.524,82.195,,0.12%
03/23/2023,82.236,82.524,82.542,82.053,,-0.33%
03/22/2023,82.505,82.677,82.742,82.395,,-0.21%
03/21/2023,82.677,82.516,82.733,82.516,,0.20%
03/20/2023,82.51,82.495,82.727,82.452,,-0.01%
03/17/2023,82.52,82.615,82.701,82.419,,-0.12%
03/16/2023,82.62,82.773,82.851,82.592,,-0.31%
03/15/2023,82.88,82.28,82.92,82.211,,0.77%
03/14/2023,82.245,82.299,82.579,82.235,,0.01%
03/13/2023,82.235,81.677,82.312,81.677,,0.34%
03-10-2023,81.96,82.037,82.21,81.843,,-0.07%
03-09-2023,82.02,81.967,82.088,81.763,,0.09%
03-08-2023,81.95,82.037,82.298,81.859,,-0.06%
03-07-2023,82,81.852,82.025,81.725,,0.23%
03-06-2023,81.81,81.778,81.973,81.61,,0.16%
03-03-2023,81.68,82.348,82.407,81.685,,-0.81%
03-02-2023,82.35,82.425,82.628,82.355,,-0.10%
03-01-2023,82.43,82.588,82.634,82.365,,-0.25%
02/28/2023,82.64,82.69,82.761,82.554,,0.00%
02/27/2023,82.642,82.871,82.951,82.627,,-0.31%
02/24/2023,82.897,82.643,83.026,82.628,,0.37%
02/23/2023,82.59,82.799,82.835,82.562,,-0.29%
02/22/2023,82.83,82.844,82.937,82.776,,-0.02%
02/21/2023,82.844,82.691,82.892,82.68,,0.18%
02/20/2023,82.693,82.72,82.763,82.604,,-0.07%
